rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1497643462219376936,,4986,,1478887573,365696894,'',0,"[1590, 1500, 14200, 1500, 1500, 1500, 1500, 1500]"
1497643462723267719,,4987,,1478887573,869413479,'',0,"[1590, 1500, 14200, 1500, 1500, 1500, 1500, 1500]"
1497643463218670670,,4988,,1478887574,364811855,'',0,"[1590, 1500, 1660, 1500, 1500, 1500, 1500, 1500]"
1497643463715276030,,4989,,1478887574,861160696,'',0,"[1590, 1500, 1660, 1500, 1500, 1500, 1500, 1500]"
1497643464224573847,,4990,,1478887575,370957842,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643464719787587,,4991,,1478887575,865043668,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643465218232713,,4992,,1478887576,363085735,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643465716208783,,4993,,1478887576,860757959,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643466222518439,,4994,,1478887577,368802608,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643466721358959,,4995,,1478887577,867582226,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643467219502049,,4996,,1478887578,364106224,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643467715082905,,4997,,1478887578,861511782,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643468223181000,,4998,,1478887579,369338411,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643468720567037,,4999,,1478887579,866806261,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643469215929784,,5000,,1478887580,362150053,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643469719982200,,5001,,1478887580,866302158,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643470214245844,,5002,,1478887581,360465589,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643470718402537,,5003,,1478887581,864585663,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643471222032384,,5004,,1478887582,368304801,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643471716404289,,5005,,1478887582,862550783,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643472219987973,,5006,,1478887583,366245858,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643472723840878,,5007,,1478887583,870155725,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643473218322500,,5008,,1478887584,364615769,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643473722599634,,5009,,1478887584,868444490,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643474215915767,,5010,,1478887585,362257973,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643474720681325,,5011,,1478887585,867011692,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643475214010824,,5012,,1478887586,360288457,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643475718017693,,5013,,1478887586,864273116,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643476221713671,,5014,,1478887587,368030743,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1497643476715945527,,5015,,1478887587,862015111,'',0,"[1590, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
