Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
13.086	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.144	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.203	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.246	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.307	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.371	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.453	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.484	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.516	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.571	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.761	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.813	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.861	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.895	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.95	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
13.985	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
15.025	6.90142e-310	6.90142e-310	2.122e-314	3.135e-317	1.5316e-322	6.90142e-310	0	0	0
15.286	-1.77633	0.809242	0.148484	-1.77621	1.09105	0.146709	-2.17611	1.09967	0.152969
15.536	-1.77636	0.809251	0.148545	-1.77658	1.0912	0.147139	-2.17614	1.09971	0.153002
15.754	-1.77625	0.809237	0.148382	-1.77603	1.09118	0.146667	-2.17613	1.09966	0.152846
15.94	-1.77622	0.80924	0.14835	-1.7761	1.09096	0.146452	-2.17609	1.0996	0.152817
16.09	-1.77635	0.809267	0.148535	-1.77663	1.09115	0.147163	-2.17616	1.0996	0.152955
16.277	-1.77634	0.809254	0.148529	-1.77655	1.09118	0.147083	-2.17618	1.09966	0.152949
16.44	-1.77623	0.809232	0.148363	-1.77636	1.09147	0.147149	-2.17611	1.09965	0.152803
16.632	-1.77629	0.809259	0.148472	-1.77659	1.09118	0.147111	-2.17616	1.09965	0.152904
16.883	-1.77635	0.809271	0.148545	-1.77667	1.0912	0.147223	-2.17625	1.09966	0.153034
17.088	-1.77626	0.809261	0.148419	-1.7765	1.09146	0.147408	-2.1762	1.09962	0.152886
17.27	-1.77624	0.809257	0.148379	-1.77644	1.09147	0.147308	-2.17614	1.09962	0.152806
17.516	-1.77632	0.809268	0.148499	-1.77669	1.09115	0.147288	-2.17617	1.09962	0.152864
17.8	-1.77638	0.809268	0.148569	-1.77673	1.09114	0.147335	-2.17627	1.09957	0.152966
17.981	-1.77626	0.809258	0.148351	-1.77648	1.09146	0.147319	-2.17615	1.09957	0.152768
18.132	-1.77627	0.809251	0.148395	-1.77659	1.09122	0.147089	-2.17617	1.09956	0.152792
18.282	-1.77637	0.809299	0.14854	-1.77667	1.0912	0.147209	-2.17625	1.09955	0.152895
18.43	-1.77632	0.809264	0.148498	-1.77656	1.09116	0.147018	-2.17624	1.09957	0.15287
18.624	-1.77625	0.809283	0.148397	-1.77649	1.09117	0.146911	-2.17619	1.09956	0.152788
18.799	-1.77635	0.809297	0.148525	-1.77663	1.09121	0.147117	-2.17626	1.09957	0.152895
19.009	-1.77635	0.809304	0.148557	-1.77664	1.09118	0.147149	-2.17628	1.09956	0.152894
19.206	-1.77629	0.809283	0.148468	-1.77644	1.09151	0.147184	-2.17619	1.09956	0.152797
19.359	-1.77629	0.809295	0.148457	-1.77639	1.09149	0.147104	-2.17614	1.09958	0.152811
19.507	-1.77639	0.809313	0.148577	-1.77676	1.09123	0.147285	-2.17626	1.09956	0.152924
19.74	-1.77635	0.809297	0.14855	-1.7766	1.09118	0.147081	-2.17627	1.09958	0.152943
19.915	-1.77615	0.809117	0.148187	-1.77642	1.09149	0.147146	-2.17614	1.09959	0.152817
20.122	-1.7762	0.809121	0.148255	-1.7766	1.09117	0.147058	-2.17623	1.0996	0.152934
20.328	-1.77627	0.809114	0.148308	-1.77659	1.09115	0.147064	-2.17614	1.0996	0.153022
20.478	-1.77633	0.809332	0.148562	-1.77643	1.09146	0.147137	-2.17623	1.0996	0.152902
20.656	-1.7763	0.809297	0.148475	-1.77643	1.09148	0.14718	-2.17622	1.09959	0.152894
20.868	-1.77636	0.80932	0.148556	-1.77669	1.09127	0.147253	-2.17626	1.09959	0.152969
21.082	-1.77641	0.809305	0.148629	-1.77671	1.0912	0.147248	-2.17655	1.09979	0.153438
21.305	-1.77631	0.809295	0.148475	-1.77658	1.09127	0.147076	-2.17616	1.09957	0.152758
21.458	-1.77633	0.809318	0.14856	-1.77662	1.09126	0.147193	-2.17617	1.09957	0.152843
21.608	-1.77643	0.809345	0.1487	-1.7765	1.09153	0.147245	-2.17631	1.0996	0.153046
21.759	-1.7764	0.809331	0.148656	-1.77668	1.09135	0.147274	-2.1763	1.09958	0.152985
21.95	-1.77631	0.809322	0.148526	-1.7766	1.09124	0.147102	-2.17623	1.09957	0.152847
22.182	-1.77638	0.809329	0.148618	-1.77663	1.09124	0.147151	-2.17623	1.09961	0.152906
22.371	-1.77631	0.809132	0.148378	-1.77674	1.0913	0.14732	-2.17676	1.09997	0.153794
22.578	-1.77623	0.809113	0.148276	-1.77661	1.09128	0.147171	-2.17652	1.09987	0.153316
