Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
8.992	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.059	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.107	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.16	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.247	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.281	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.329	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.393	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.44	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.479	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.682	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.737	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.82	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.876	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.936	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
9.998	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
11.005	6.91215e-310	6.91215e-310	2.122e-314	3.135e-317	1.5316e-322	6.91215e-310	0	0	0
11.319	-1.71409	0.608574	0.147114	-1.71487	0.89059	0.143968	-2.11446	0.898831	0.152135
11.52	-1.71405	0.608547	0.147061	-1.71487	0.890574	0.144006	-2.11447	0.898777	0.152139
11.741	-1.71408	0.608557	0.147108	-1.71487	0.890604	0.144017	-2.11451	0.898624	0.152053
12.004	-1.71409	0.608578	0.147124	-1.71489	0.890585	0.143971	-2.11457	0.898553	0.152058
12.26	-1.71406	0.608538	0.147062	-1.71488	0.890623	0.144167	-2.11463	0.898283	0.151984
12.606	-1.71405	0.608536	0.147044	-1.71487	0.890648	0.144037	-2.11464	0.898334	0.151942
12.869	-1.7141	0.608592	0.147132	-1.71486	0.890593	0.144009	-2.11466	0.898322	0.152016
13.141	-1.71408	0.608571	0.14711	-1.71488	0.890547	0.143983	-2.11466	0.898373	0.15199
13.377	-1.71407	0.60857	0.147109	-1.71488	0.89062	0.144043	-2.11455	0.898575	0.152041
13.643	-1.71406	0.608545	0.147079	-1.71488	0.890622	0.144048	-2.11449	0.898881	0.152143
13.91	-1.71408	0.608564	0.147083	-1.71487	0.890629	0.144178	-2.11465	0.898398	0.151985
14.262	-1.71406	0.608561	0.147087	-1.71486	0.890578	0.143983	-2.11455	0.898678	0.15205
14.523	-1.71405	0.608521	0.147074	-1.71488	0.890651	0.14406	-2.11467	0.898376	0.152
14.779	-1.71407	0.608541	0.147079	-1.71485	0.890617	0.144014	-2.11466	0.898387	0.151991
15.015	-1.71409	0.608578	0.147113	-1.71486	0.890579	0.143999	-2.11455	0.898654	0.152051
15.291	-1.71409	0.608568	0.147099	-1.71487	0.890637	0.144014	-2.11465	0.898335	0.152006
15.53	-1.71407	0.608557	0.147078	-1.71487	0.890643	0.144048	-2.1145	0.898847	0.15215
15.802	-1.71405	0.608569	0.147084	-1.71485	0.890619	0.144012	-2.11446	0.898795	0.152067
16.131	-1.71409	0.608562	0.147094	-1.71487	0.890575	0.143983	-2.11447	0.898857	0.152092
16.378	-1.71407	0.608556	0.147064	-1.71486	0.890622	0.14405	-2.11449	0.898819	0.152113
16.65	-1.71408	0.608572	0.147105	-1.71489	0.890619	0.144016	-2.11463	0.898303	0.151968
16.877	-1.71409	0.608565	0.14705	-1.71484	0.89064	0.143992	-2.11451	0.898565	0.151968
17.089	-1.71407	0.608562	0.147066	-1.71488	0.89067	0.144191	-2.11452	0.898539	0.151959
17.297	-1.71409	0.608569	0.147114	-1.71489	0.890618	0.144039	-2.11464	0.898312	0.151946
17.568	-1.7141	0.60858	0.147131	-1.71488	0.890602	0.144051	-2.11464	0.898319	0.151972
17.811	-1.71408	0.608549	0.147062	-1.71487	0.890624	0.144003	-2.11453	0.898539	0.15194
18.081	-1.71407	0.608548	0.147055	-1.71486	0.890571	0.144005	-2.11463	0.898283	0.151931
18.353	-1.71408	0.608548	0.147078	-1.71489	0.890586	0.144053	-2.11453	0.898524	0.151943
