Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
11.52	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
11.579	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
11.616	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
11.673	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
11.737	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
11.793	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.057	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.12	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.183	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.247	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.309	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
12.373	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
13.524	6.94285e-310	6.94285e-310	2.122e-314	3.135e-317	1.5316e-322	6.94285e-310	0	0	0
13.71	-1.76256	0.925392	0.148001	-1.76962	1.20749	0.1456	-2.16959	1.20567	0.152564
13.905	-1.76254	0.92539	0.147988	-1.76937	1.20734	0.145237	-2.1696	1.2057	0.152595
14.145	-1.7625	0.925405	0.147924	-1.76929	1.20735	0.145125	-2.16953	1.20571	0.152437
14.431	-1.76251	0.925398	0.147953	-1.76932	1.20732	0.14518	-2.16955	1.20571	0.152524
14.62	-1.76254	0.925382	0.148003	-1.7694	1.20735	0.145265	-2.16988	1.20597	0.153039
14.865	-1.76251	0.925387	0.14794	-1.76936	1.20736	0.145224	-2.16961	1.20569	0.152546
15.098	-1.76253	0.92541	0.14795	-1.76935	1.20737	0.145173	-2.16979	1.20599	0.152982
15.346	-1.76254	0.92539	0.147964	-1.76936	1.20735	0.145225	-2.16981	1.206	0.152979
15.621	-1.76254	0.925402	0.147977	-1.76939	1.20736	0.145266	-2.16963	1.20569	0.152532
15.849	-1.76252	0.925406	0.147919	-1.76932	1.20733	0.145146	-2.16953	1.20571	0.152466
16.03	-1.76255	0.92541	0.147972	-1.76933	1.20736	0.145196	-2.16955	1.20572	0.152571
16.267	-1.76257	0.925373	0.147993	-1.76966	1.20754	0.14569	-2.16963	1.20572	0.152726
16.524	-1.76252	0.92538	0.147915	-1.76933	1.20734	0.145168	-2.16951	1.20571	0.152591
16.806	-1.76251	0.925392	0.14791	-1.7693	1.20734	0.14512	-2.16952	1.20573	0.15251
17.068	-1.76254	0.925407	0.147947	-1.76934	1.20738	0.145211	-2.1695	1.20571	0.152644
17.459	-1.76255	0.925379	0.14797	-1.76939	1.20735	0.145278	-2.16961	1.20567	0.152687
17.706	-1.7625	0.925396	0.147926	-1.76955	1.20748	0.145499	-2.16948	1.20569	0.152561
17.944	-1.76255	0.925434	0.148001	-1.76955	1.20746	0.145515	-2.16944	1.20566	0.152616
18.216	-1.76257	0.925394	0.147981	-1.76955	1.20748	0.145543	-2.16946	1.20568	0.152641
