Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
21.54	-1.79422	0.984064	0.148901	-1.78651	1.26667	0.146769	-2.18548	1.28649	0.153014
21.793	-1.79428	0.984101	0.148951	-1.78606	1.26636	0.146103	-2.18551	1.28646	0.153071
22.008	-1.7942	0.984067	0.14887	-1.78603	1.26635	0.146091	-2.18568	1.28616	0.152879
22.213	-1.79416	0.984041	0.148794	-1.78602	1.26639	0.146052	-2.18568	1.28616	0.15288
22.443	-1.79425	0.984053	0.148953	-1.78595	1.26637	0.145936	-2.18551	1.28649	0.153121
22.693	-1.79441	0.984601	0.149523	-1.7859	1.26638	0.145823	-2.18547	1.28649	0.153056
22.923	-1.79394	0.983912	0.148469	-1.78584	1.26637	0.145736	-2.18569	1.28614	0.152909
23.151	-1.79419	0.984381	0.149108	-1.78633	1.26657	0.146486	-2.18569	1.28619	0.152961
23.363	-1.79418	0.984338	0.149098	-1.78585	1.26635	0.145746	-2.18553	1.28644	0.153084
23.608	-1.79416	0.984388	0.149088	-1.78575	1.26637	0.145651	-2.18565	1.28617	0.152857
23.962	-1.79432	0.984492	0.149381	-1.78574	1.26635	0.1456	-2.18545	1.28646	0.152937
24.139	-1.79421	0.984412	0.149186	-1.78572	1.2663	0.145579	-2.18552	1.28648	0.15308
24.347	-1.7944	0.984554	0.149494	-1.78558	1.26631	0.145381	-2.18553	1.2865	0.153099
24.651	-1.79432	0.984634	0.149474	-1.78614	1.26641	0.146246	-2.18566	1.28614	0.152765
24.902	-1.79411	0.983997	0.148757	-1.78617	1.26649	0.146265	-2.18565	1.28615	0.152819
25.176	-1.7942	0.984077	0.148924	-1.78621	1.26651	0.14637	-2.18553	1.28649	0.153037
25.415	-1.79418	0.984081	0.148892	-1.78584	1.26636	0.145805	-2.18548	1.28649	0.152988
25.667	-1.79411	0.984112	0.148822	-1.78584	1.26642	0.145807	-2.18562	1.28613	0.152717
25.877	-1.79421	0.984137	0.148972	-1.78591	1.26643	0.145898	-2.18552	1.28648	0.153044
26.059	-1.79423	0.984185	0.149013	-1.78588	1.26646	0.145835	-2.18548	1.28653	0.152995
26.25	-1.79419	0.984197	0.148952	-1.78584	1.26649	0.145835	-2.18544	1.28657	0.152995
26.441	-1.79421	0.984215	0.148985	-1.78583	1.26656	0.145875	-2.18542	1.28666	0.153098
26.65	-1.79431	0.984236	0.149151	-1.78596	1.26661	0.146138	-2.18544	1.2867	0.153278
26.906	-1.79429	0.984249	0.14914	-1.78566	1.26646	0.145663	-2.1854	1.28671	0.153218
27.124	-1.7943	0.984401	0.149288	-1.78562	1.26644	0.145602	-2.18561	1.28613	0.152638
27.366	-1.79436	0.984421	0.14938	-1.78562	1.26645	0.145637	-2.18561	1.28617	0.152723
27.528	-1.79445	0.984426	0.149499	-1.78571	1.26643	0.145777	-2.18567	1.28617	0.152854
27.761	-1.79435	0.984438	0.149346	-1.78563	1.26641	0.145612	-2.18561	1.28622	0.152764
28.084	-1.7943	0.98442	0.149292	-1.78558	1.26643	0.145578	-2.18548	1.28623	0.152552
28.322	-1.79441	0.98442	0.149393	-1.78561	1.26641	0.145644	-2.18551	1.28625	0.152686
28.454	-1.79442	0.9844	0.149394	-1.7856	1.26639	0.145642	-2.18555	1.28627	0.152723
28.64	-1.79431	0.984402	0.149268	-1.78555	1.26638	0.145545	-2.18548	1.28624	0.152566
28.866	-1.79436	0.9844	0.149331	-1.78561	1.26643	0.145621	-2.18549	1.28629	0.152635
29.092	-1.79444	0.984395	0.149409	-1.78565	1.26642	0.145698	-2.18548	1.28637	0.152875
29.353	-1.79436	0.984388	0.149322	-1.78566	1.26642	0.145731	-2.18549	1.28638	0.152797
29.571	-1.79432	0.984405	0.149263	-1.78556	1.26648	0.145554	-2.18543	1.28638	0.152671
29.756	-1.79442	0.984382	0.14939	-1.78563	1.26647	0.145697	-2.18564	1.28613	0.152781
