rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1497015064923969755,,31264,,1478843831,415750246,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015064944596090,,31265,,1478843831,436129419,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015064964880078,,31266,,1478843831,456448593,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015064985719834,,31267,,1478843831,477207140,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065006520302,,31268,,1478843831,497725376,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065017205413,,31269,,1478843831,508762435,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065037705990,,31270,,1478843831,528954942,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065057472014,,31271,,1478843831,549048334,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065078018710,,31272,,1478843831,569652403,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065098660326,,31273,,1478843831,590168035,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065119544956,,31274,,1478843831,610759291,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065140005274,,31275,,1478843831,631666275,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065159879463,,31276,,1478843831,651514408,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065182167774,,31277,,1478843831,672863527,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065201255510,,31278,,1478843831,692820879,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065221978269,,31279,,1478843831,713453906,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065242763826,,31280,,1478843831,734222453,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065263520521,,31281,,1478843831,755016469,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1497015065283995413,,31282,,1478843831,775894339,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
