rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1496432694936272187,,4554,,1478825748,760715784,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432695430126148,,4555,,1478825749,254633069,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432695934345877,,4556,,1478825749,758903872,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432696426679053,,4557,,1478825750,251141577,'',0,"[1290, 1500, 1605, 1500, 1500, 1500, 1500, 1500]"
1496432696934722404,,4558,,1478825750,757393470,'',0,"[1290, 1500, 1605, 1500, 1500, 1500, 1500, 1500]"
1496432697433823819,,4559,,1478825751,255089288,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432697933696442,,4560,,1478825751,756210307,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432698441489822,,4561,,1478825752,251049412,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432698936731548,,4562,,1478825752,758416094,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432699431828685,,4563,,1478825753,255793944,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432699930248746,,4564,,1478825753,753255440,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432700437725210,,4565,,1478825754,261130037,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432700936593090,,4566,,1478825754,759945957,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432701432191702,,4567,,1478825755,255682873,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432701928496567,,4568,,1478825755,752944890,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432702436663501,,4569,,1478825756,259944646,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432702933672211,,4570,,1478825756,757647703,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432703431776972,,4571,,1478825757,254438107,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432703929518913,,4572,,1478825757,752695851,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432704435978336,,4573,,1478825758,259667429,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432704933323902,,4574,,1478825758,757225383,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432705430584470,,4575,,1478825759,254407348,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432705928396055,,4576,,1478825759,752194051,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432706437414402,,4577,,1478825760,260339794,'',0,"[1290, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496432706932969477,,4578,,1478825760,757053687,'',0,"[1290, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496432707431078310,,4579,,1478825761,254667109,'',0,"[1290, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496432707929133467,,4580,,1478825761,752965218,'',0,"[1290, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496432708436147011,,4581,,1478825762,260022734,'',0,"[1290, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496432708929413295,,4582,,1478825762,753372572,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432709433453972,,4583,,1478825763,257017074,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432709926533891,,4584,,1478825763,750301652,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432710430124325,,4585,,1478825764,254557716,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432710933544432,,4586,,1478825764,757719407,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432711426745700,,4587,,1478825765,251143829,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432711931273884,,4588,,1478825765,755810829,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432712432568617,,4589,,1478825766,257104139,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432712926542069,,4590,,1478825766,750949862,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432713429794081,,4591,,1478825767,254460979,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432713933230002,,4592,,1478825767,757648764,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496432714426868624,,4593,,1478825768,251234227,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
