rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1496437471243272032,,5869,,1478829620,93536159,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437471747097068,,5870,,1478829620,597265661,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437472240609386,,5871,,1478829621,90661333,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437472748316391,,5872,,1478829621,597745984,'',0,"[1590, 1500, 1605, 1500, 1500, 1500, 1500, 1500]"
1496437473245753078,,5873,,1478829622,94992011,'',0,"[1590, 1500, 1605, 1500, 1500, 1500, 1500, 1500]"
1496437473743305801,,5874,,1478829622,593129495,'',0,"[1590, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437474241511294,,5875,,1478829623,90932657,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437474742014730,,5876,,1478829623,589743264,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437475239359612,,5877,,1478829624,88398871,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437475749987868,,5878,,1478829624,597676018,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437476246825333,,5879,,1478829625,96235219,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437476745232041,,5880,,1478829625,593725152,'',0,"[1390, 1500, 1600, 1500, 1500, 1500, 1500, 1500]"
1496437477242162420,,5881,,1478829626,90912899,'',0,"[1390, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496437477749637408,,5882,,1478829626,598985152,'',0,"[1390, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496437478247755613,,5883,,1478829627,96624512,'',0,"[1390, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496437478745394091,,5884,,1478829627,594066007,'',0,"[1390, 1500, 1400, 1500, 1500, 1500, 1500, 1500]"
1496437479241905618,,5885,,1478829628,90202454,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437479744005318,,5886,,1478829628,593000240,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437480246785161,,5887,,1478829629,97057398,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496437480741182354,,5888,,1478829629,591324213,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
