rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1496243968270094241,,311052,,1478816331,299549200,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968291506186,,311053,,1478816331,320536445,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968310764432,,311054,,1478816331,340385620,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968332120474,,311055,,1478816331,361186459,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968351472362,,311056,,1478816331,381455111,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968372475522,,311057,,1478816331,402225326,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968392791063,,311058,,1478816331,422543874,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968403486921,,311059,,1478816331,433629526,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968424002201,,311060,,1478816331,453883023,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968444638470,,311061,,1478816331,474374696,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968466175259,,311062,,1478816331,495237670,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968485917501,,311063,,1478816331,515639292,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968505941683,,311064,,1478816331,535872580,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968526508857,,311065,,1478816331,556531128,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968547381737,,311066,,1478816331,577131446,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968568191717,,311067,,1478816331,597937285,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968588425245,,311068,,1478816331,618157761,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968609048282,,311069,,1478816331,638651517,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968629722314,,311070,,1478816331,659481054,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968654507709,,311071,,1478816331,680013977,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968670482414,,311072,,1478816331,700342682,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968691365380,,311073,,1478816331,721070240,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968711973896,,311074,,1478816331,741647069,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968733103997,,311075,,1478816331,762830772,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968753336272,,311076,,1478816331,782560103,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968764768256,,311077,,1478816331,794560128,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968783830769,,311078,,1478816331,813675555,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968804496581,,311079,,1478816331,834243269,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968825795248,,311080,,1478816331,855041869,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968845521925,,311081,,1478816331,875381927,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968866503819,,311082,,1478816331,896280527,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968886292408,,311083,,1478816331,916208764,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968906745056,,311084,,1478816331,936438718,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968927377392,,311085,,1478816331,957407422,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968948034298,,311086,,1478816331,977772585,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968968597331,,311087,,1478816331,998436497,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243968988835384,,311088,,1478816332,18741243,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969009482948,,311089,,1478816332,39363906,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969032273109,,311090,,1478816332,60037558,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969050445363,,311091,,1478816332,80432095,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969071113062,,311092,,1478816332,101003925,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969091583687,,311093,,1478816332,121429817,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969112400144,,311094,,1478816332,141956073,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969133969280,,311095,,1478816332,163398473,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969151438173,,311096,,1478816332,181266506,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969164071049,,311097,,1478816332,193805853,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969184537320,,311098,,1478816332,214301589,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969204954447,,311099,,1478816332,234680450,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969225870249,,311100,,1478816332,255599049,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969246248506,,311101,,1478816332,275970774,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969267467378,,311102,,1478816332,297112706,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496243969287233992,,311103,,1478816332,317116047,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
