rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1496342274810743567,,55119,,1478821680,446951548,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274831336681,,55120,,1478821680,467577700,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274851382329,,55121,,1478821680,487878124,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274872630163,,55122,,1478821680,508729171,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274892892552,,55123,,1478821680,529132563,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274904151028,,55124,,1478821680,540423632,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274923907346,,55125,,1478821680,560196296,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274944559587,,55126,,1478821680,580818646,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274967428582,,55127,,1478821680,603242762,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342274986075505,,55128,,1478821680,622401366,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275006438820,,55129,,1478821680,642681529,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275026859897,,55130,,1478821680,663227941,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275051270505,,55131,,1478821680,683723364,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275068309534,,55132,,1478821680,704467224,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275092510893,,55133,,1478821680,728486806,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275109192424,,55134,,1478821680,745401873,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275129511495,,55135,,1478821680,765821567,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275150318634,,55136,,1478821680,786395792,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275170814285,,55137,,1478821680,807134912,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275191853299,,55138,,1478821680,828045074,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275212221818,,55139,,1478821680,848101540,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275232965135,,55140,,1478821680,868573525,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275243182279,,55141,,1478821680,879463084,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275273841277,,55142,,1478821680,909581351,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275291971013,,55143,,1478821680,928151674,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275304475760,,55144,,1478821680,940606490,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275325162688,,55145,,1478821680,961414568,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275345532223,,55146,,1478821680,981637857,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275368000848,,55147,,1478821681,4017078,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275386938092,,55148,,1478821681,23122504,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275407444818,,55149,,1478821681,43764645,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275427278668,,55150,,1478821681,63847205,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275448285798,,55151,,1478821681,84429086,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275472191852,,55152,,1478821681,108198148,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275490189006,,55153,,1478821681,126228993,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275510076871,,55154,,1478821681,146199157,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275530438547,,55155,,1478821681,166771298,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275551743804,,55156,,1478821681,187877762,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275571745522,,55157,,1478821681,207919123,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275592636192,,55158,,1478821681,228904806,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275612775551,,55159,,1478821681,248940438,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275623835525,,55160,,1478821681,260013851,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275644051194,,55161,,1478821681,280232035,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275665033539,,55162,,1478821681,300979124,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275685162144,,55163,,1478821681,321114600,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275706031644,,55164,,1478821681,342095283,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275726291881,,55165,,1478821681,362304300,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275746966250,,55166,,1478821681,383047275,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275767472890,,55167,,1478821681,403767906,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275787707953,,55168,,1478821681,423974423,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275808645999,,55169,,1478821681,444657814,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275828997649,,55170,,1478821681,465120529,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275852224232,,55171,,1478821681,486100430,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275870432049,,55172,,1478821681,506579916,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275891340645,,55173,,1478821681,527534557,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275911525020,,55174,,1478821681,547479825,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275931739565,,55175,,1478821681,568314206,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275952668042,,55176,,1478821681,588683587,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275973441298,,55177,,1478821681,609560989,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342275984426668,,55178,,1478821681,620341069,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276004314318,,55179,,1478821681,640400503,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276024696007,,55180,,1478821681,660866083,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276045646884,,55181,,1478821681,681684526,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276067852239,,55182,,1478821681,703850206,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276086545130,,55183,,1478821681,722782403,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276107347696,,55184,,1478821681,743317253,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276127509008,,55185,,1478821681,763696791,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276148354490,,55186,,1478821681,784551692,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276168867609,,55187,,1478821681,805156126,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276189199560,,55188,,1478821681,825463633,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276210249537,,55189,,1478821681,846102024,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276232013774,,55190,,1478821681,866590520,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276251089378,,55191,,1478821681,887239641,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276271662965,,55192,,1478821681,907573085,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276292457287,,55193,,1478821681,928552413,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276312730597,,55194,,1478821681,948603150,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276333386911,,55195,,1478821681,969483103,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276351459036,,55196,,1478821681,987839625,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276365743547,,55197,,1478821682,2336884,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276384401652,,55198,,1478821682,20761166,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276405304381,,55199,,1478821682,41529922,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276426091879,,55200,,1478821682,62101647,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276446359567,,55201,,1478821682,82468841,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276467581050,,55202,,1478821682,103646086,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276487962578,,55203,,1478821682,123722551,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276508030161,,55204,,1478821682,144346776,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276528787588,,55205,,1478821682,165082199,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276549223208,,55206,,1478821682,185460955,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276569929553,,55207,,1478821682,206151378,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276590775820,,55208,,1478821682,226833988,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276610807124,,55209,,1478821682,247182589,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276631450817,,55210,,1478821682,267618793,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276651795200,,55211,,1478821682,288078591,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276673069114,,55212,,1478821682,308988961,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276693822859,,55213,,1478821682,329486155,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276708146949,,55214,,1478821682,343987060,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276724181566,,55215,,1478821682,360379211,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276744773058,,55216,,1478821682,381256144,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276767373660,,55217,,1478821682,403593021,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276785738637,,55218,,1478821682,422341886,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276807126700,,55219,,1478821682,443269652,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276827074606,,55220,,1478821682,463327576,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276847634996,,55221,,1478821682,483944561,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276868733994,,55222,,1478821682,504747900,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276888434757,,55223,,1478821682,525015667,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276909706218,,55224,,1478821682,545772184,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276929566839,,55225,,1478821682,566156774,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276950673732,,55226,,1478821682,586695061,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276971246552,,55227,,1478821682,607429703,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342276992808330,,55228,,1478821682,629041373,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277012128522,,55229,,1478821682,648444559,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277032875277,,55230,,1478821682,669106336,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277052036561,,55231,,1478821682,687712232,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277065618132,,55232,,1478821682,700042413,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277087524177,,55233,,1478821682,720870752,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277105905918,,55234,,1478821682,741327998,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277125639062,,55235,,1478821682,761948785,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277146095687,,55236,,1478821682,782405250,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277168183533,,55237,,1478821682,803903640,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277187798024,,55238,,1478821682,823798022,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277207997576,,55239,,1478821682,844247664,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277228799184,,55240,,1478821682,865243711,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277249366926,,55241,,1478821682,885469083,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277270360303,,55242,,1478821682,906052214,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277289817704,,55243,,1478821682,926114097,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277310729491,,55244,,1478821682,946585249,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277331087693,,55245,,1478821682,967401557,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277351636137,,55246,,1478821682,987678543,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277372917111,,55247,,1478821683,8899797,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277392870926,,55248,,1478821683,29008763,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277403818761,,55249,,1478821683,40104415,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277423991708,,55250,,1478821683,60122965,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277444999549,,55251,,1478821683,81173074,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277466827841,,55252,,1478821683,103048754,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277486094107,,55253,,1478821683,122096993,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277506563441,,55254,,1478821683,142527052,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277526792793,,55255,,1478821683,162934923,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277547039660,,55256,,1478821683,183367898,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277568139249,,55257,,1478821683,204435039,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277588141368,,55258,,1478821683,224619994,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277608810878,,55259,,1478821683,245309114,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277629599290,,55260,,1478821683,265752194,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277650897280,,55261,,1478821683,286974594,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277670364765,,55262,,1478821683,307027935,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277691166684,,55263,,1478821683,327547785,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277711884432,,55264,,1478821683,348067323,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277732249652,,55265,,1478821683,368404205,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496342277752769656,,55266,,1478821683,389413429,'',0,"[1580, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
